iter	Logloss
0	0.6816201305
1	0.6710496945
2	0.6619122903
3	0.6533963271
4	0.6462713536
5	0.6391668996
6	0.6331609409
7	0.6277698313
8	0.6231614048
9	0.6192913556
10	0.6156798199
11	0.6125169452
12	0.6092032596
13	0.6061092533
14	0.6034997188
15	0.600974797
16	0.599036156
17	0.5967420038
18	0.5949760189
19	0.5931578397
20	0.5916072977
21	0.5902017183
22	0.5887637409
23	0.5873747156
24	0.586234173
25	0.585317582
26	0.5841631484
27	0.5833352403
28	0.5824054466
29	0.5815307346
30	0.5809505862
31	0.5804483445
32	0.5795516432
33	0.5789442396
34	0.5782194028
35	0.5776217072
36	0.5767611648
37	0.5762892003
38	0.5755451712
39	0.5748689545
40	0.5743610594
41	0.5737296628
42	0.5732038901
43	0.572849651
44	0.5724172963
45	0.5720874212
46	0.5714366238
47	0.5711022154
48	0.570671031
49	0.5702766948
50	0.569895777
51	0.569362801
52	0.5690297718
53	0.5686779151
54	0.5682592682
55	0.5678597068
56	0.5676324212
57	0.5669287285
58	0.5665599233
59	0.5662161978
60	0.5656893601
61	0.5652563694
62	0.5650076438
63	0.5646224499
64	0.564289859
65	0.5638497163
66	0.5635253094
67	0.5632498621
68	0.5629192515
69	0.5626146281
70	0.5623610014
71	0.5618957312
72	0.5615647196
73	0.5611838956
74	0.5609017835
75	0.5606978237
76	0.5602867067
77	0.5601851244
78	0.5598117311
79	0.5594953354
80	0.5591365888
81	0.5587551175
82	0.5584394829
83	0.5581294073
84	0.5578831235
85	0.55763958
86	0.5572871486
87	0.5569229329
88	0.5566161245
89	0.5563331454
90	0.5561148708
91	0.5558802752
92	0.5556243412
93	0.5551925674
94	0.5548949284
95	0.5547025907
96	0.5545160586
97	0.5541991021
98	0.554065307
99	0.5538926297
100	0.5537031796
101	0.5533827479
102	0.5531008603
103	0.5528315907
104	0.5526318053
105	0.5523244827
106	0.552095009
107	0.5518530383
108	0.5516590335
109	0.5513023514
110	0.5510147765
111	0.550824237
112	0.5506050508
113	0.5503959749
114	0.5501192232
115	0.5498852355
116	0.5496263202
117	0.549287149
118	0.5490467505
119	0.5488986887
120	0.5487253632
121	0.548387396
122	0.5480347547
123	0.5478165399
124	0.5475459108
125	0.5473921455
126	0.5471697231
127	0.5469266831
128	0.5467342655
129	0.5464572918
130	0.5463076888
131	0.5460488539
132	0.5457162764
133	0.5454860248
134	0.5452566572
135	0.5449806904
136	0.5448347764
137	0.5446006322
138	0.5442684563
139	0.543918184
140	0.5436813916
141	0.5434515645
142	0.5433270641
143	0.5430797192
144	0.5428219378
145	0.5425419502
146	0.5422928565
147	0.5421279716
148	0.5419932739
149	0.5418065457
150	0.541578588
151	0.54138844
152	0.5412699814
153	0.5411134624
154	0.5408089609
155	0.5405923653
156	0.5403985467
157	0.5401989863
158	0.5399856025
159	0.5397742841
160	0.5396002713
161	0.5393782816
162	0.5390549506
163	0.5388377991
164	0.5385097863
165	0.5382805016
166	0.5379752487
167	0.5377416572
168	0.5374875952
169	0.5373427439
170	0.5371232206
171	0.5369458389
172	0.5367978984
173	0.5365537694
174	0.5363229017
175	0.5361937316
176	0.5358413713
177	0.5356420115
178	0.5353347063
179	0.535166312
180	0.5350471913
181	0.5348160184
182	0.5345276199
183	0.5342849991
184	0.5340192769
185	0.5337147079
186	0.5335085843
187	0.5332948443
188	0.533157332
189	0.5329222202
190	0.5327386734
191	0.5324342989
192	0.5321634009
193	0.5318979254
194	0.5317285309
195	0.5315988239
196	0.5313462681
197	0.5312460624
198	0.5308856009
199	0.5305843366
